rating,date,content
5.0,2025.04.20,"평일 오전은 큰 기다림 없이 살수 있어요 (샌드위치정거장포함) 
줄이 있다해도 금방금방 빠집니다 
주멀은 넘 많아 들어갈 엄두도 못냈어요~
종류도 많고 양도 크기도 맛도 다 합격~^..^
 접기"
5.0,2025.04.12,"* 긴 성심당 리뷰
전 친구들이랑 빵지순례 겸 간 날이 샌드위치 정거장 오픈날이였네요.
- 첫 방문+토요일이라 새벽부터 오픈런해서 갔는데 30분정도 일찍 문을 여심(그 날만 유독 그러신 건지 모르겠음) 그리고 주차는 모두의 주차장 이용추천(저렴)
- 빵 고르는데 순서대로 집어가는 게 아니라 전투형 빵줍기임 장점은 익숙하신 분들은 빵을 금방 고르고 나가서, 웨이팅이 빨리 줄어들지만 단점으로 첫 방문인 저는 예상치못했어서 조금 기분이 좋진..😅 그래도 저 방식이 나을 듯함
- 본점보다 딸기시루 줄이 거어ㅓㅓㅓ업나 길었네요.. 시루가 목적이면 시루줄부터 먼저 서야함
- 미리 영상 숙지하고 갔는데, 빵은 다 가성비 있고, 비쥬얼은 그렇게 좋아보이지 않았는데 대체로 기존 빵보다 1.5배?정도 더 맛있는 편인 것 같아요
개인적으로 비추천은 주먹밥(맛있다고들해서 기대했는데 전 별로),피자빵(특색없는듯..소시지빵은 안먹어봄) 정도였고, 재구매의사 빵들은 보문산메아리,딸기시루,작은메아리,명란바게트,튀소구마+모든 샌드위치 종류입니다. 접기"
5.0,2025.04.05,무슨설명이 필요합니까? 성심당 입니다.!
5.0,2025.04.05,"대전하면 성심당. 대전 필수코스인 성심당 다녀왔다

빵 가격은 전부 저렴하고 튀김소보루는 1700원인가 했던 거 같다. 빵 10개 넘게 사도 2만원대 ㅋㅋ 맛은 당연히 우수하다

계산 줄이 정신없는 게 유일한 흠
여기서도 서있고 저기서도 서있어서 혼잡하다. 전에는 벽면에만 계산대가 있었던 것 같은데 마주보게 해놨다. 접기"
4.0,2025.04.03,맛이랑 가격 다 좋은데 사람이 많아서 통제를 해주시면 좋을것같아요 ㅠㅠ 예전에 갔을때는 들어가는 사람 수를 제한 하셨던 것 같은데 이제는 그냥 계속 들어가서 사람에 파묻혀서 이리가지도 저리가지도 못했어요 ㅠㅠ 그것빼곤 다 괜찮아요
5.0,2025.04.01,"사람이 많아도 너무 많아요~
평일 오후에 갔는데도 너무 많음! 왜 많은지는 먹어보면 금방 이해 됩니다! 이 가격에 이정도 퀄리티 훌룡합니다."
4.0,2025.03.31,두말하면 입아프죠…ㅋㅋ
1.0,2025.03.26,"맛없어요..
명란 바게트, 튀소, 토요빵, 밤식빵.
순서대로 짜고 느끼하고 밍밍하고 밀가루 맛 많이 나고 별로예요.."
2.0,2025.03.25,딸기시루는 시트가 뻑뻑하고 크림이 너무 조금 들어 있습니다.
4.0,2025.03.20,빵진짜 많아요 사람도 진짜 많아요 대전의 명물은 역시 성심당인가봐요 가성비좋게 먹었습니다
